symbol,name,market_cap
MMM,3M,100000000000
AOS,A. O. Smith,100000000000
ABT,Abbott Laboratories,100000000000
ABBV,AbbVie,100000000000
ACN,Accenture,100000000000
ADBE,Adobe Inc.,100000000000
AMD,Advanced Micro Devices,100000000000
AES,AES Corporation,100000000000
AFL,Aflac,100000000000
A,Agilent Technologies,100000000000
APD,Air Products,100000000000
ABNB,Airbnb,100000000000
AKAM,Akamai Technologies,100000000000
ALB,Albemarle Corporation,100000000000
ARE,Alexandria Real Estate Equities,100000000000
ALGN,Align Technology,100000000000
ALLE,Allegion,100000000000
LNT,Alliant Energy,100000000000
ALL,Allstate,100000000000
GOOGL,Alphabet Inc. (Class A),100000000000
GOOG,Alphabet Inc. (Class C),100000000000
MO,Altria,100000000000
AMZN,Amazon,100000000000
AMCR,Amcor,100000000000
AEE,Ameren,100000000000
AEP,American Electric Power,100000000000
AXP,American Express,100000000000
AIG,American International Group,100000000000
AMT,American Tower,100000000000
AWK,American Water Works,100000000000
AMP,Ameriprise Financial,100000000000
AME,Ametek,100000000000
AMGN,Amgen,100000000000
APH,Amphenol,100000000000
ADI,Analog Devices,100000000000
ANSS,Ansys,100000000000
AON,Aon plc,100000000000
APA,APA Corporation,100000000000
APO,Apollo Global Management,100000000000
AAPL,Apple Inc.,100000000000
AMAT,Applied Materials,100000000000
APTV,Aptiv,100000000000
ACGL,Arch Capital Group,100000000000
ADM,Archer Daniels Midland,100000000000
ANET,Arista Networks,100000000000
AJG,Arthur J. Gallagher & Co.,100000000000
AIZ,Assurant,100000000000
T,AT&T,100000000000
ATO,Atmos Energy,100000000000
ADSK,Autodesk,100000000000
ADP,Automatic Data Processing,100000000000
AZO,AutoZone,100000000000
AVB,AvalonBay Communities,100000000000
AVY,Avery Dennison,100000000000
AXON,Axon Enterprise,100000000000
BKR,Baker Hughes,100000000000
BALL,Ball Corporation,100000000000
BAC,Bank of America,100000000000
BAX,Baxter International,100000000000
BDX,Becton Dickinson,100000000000
BRK-B,Berkshire Hathaway,100000000000
BBY,Best Buy,100000000000
TECH,Bio-Techne,100000000000
BIIB,Biogen,100000000000
BLK,BlackRock,100000000000
BX,Blackstone Inc.,100000000000
BK,BNY Mellon,100000000000
BA,Boeing,100000000000
BKNG,Booking Holdings,100000000000
BSX,Boston Scientific,100000000000
BMY,Bristol Myers Squibb,100000000000
AVGO,Broadcom,100000000000
BR,Broadridge Financial Solutions,100000000000
BRO,Brown & Brown,100000000000
BF-B,Brown–Forman,100000000000
BLDR,Builders FirstSource,100000000000
BG,Bunge Global,100000000000
BXP,"BXP, Inc.",100000000000
CHRW,C.H. Robinson,100000000000
